"","iso3","village","count"
"202","BRA","Porto do Urimajo",1
"203","BRA","Porto Grande",3
"204","BRA","Pratiquara",1
"205","BRA","Prauajo",1
"206","BRA","Quarucambal",1
"207","BRA","Quatipuru Mirim",1
"208","BRA","Quatorze",1
"209","BRA","Quatro Bocas",2
"210","BRA","Recreio",1
"211","BRA","Retiro",1
"212","BRA","Retiro Boa Esperanca",1
"213","BRA","Ribanceira",1
"214","BRA","Rio Grande",2
"215","BRA","Sacatandeua",1
"216","BRA","Salinas",1
"217","BRA","Santa Catarina",1
"218","BRA","Santa Maria",1
"219","BRA","Santa Rosa",1
"220","BRA","Santana",1
"221","BRA","Santissima Trindade",1
"222","BRA","Santo Amaro",1
"223","BRA","Santo Antonio",1
"224","BRA","Santo Antonio de Ita",1
"225","BRA","Santo Inacio",1
"226","BRA","Sao Bento",1
"227","BRA","Sao Cristovpo",1
"228","BRA","Sao Domingos",1
"229","BRA","Sao Jeronimo",1
"230","BRA","Sao Joao dos Ramos",1
"231","BRA","Sao Jose",1
"232","BRA","Sao Lourenco",2
"233","BRA","Sao Mateus",1
"234","BRA","Sao Miguel",2
"235","BRA","Sao Paulo",1
"236","BRA","Sao Raimundo",2
"237","BRA","Sao Sebastiao de Vicosa",1
"238","BRA","Sao Sebastiao do Taqueri",1
"239","BRA","Sao Tome",1
"240","BRA","Sereno",1
"241","BRA","Seringa",1
"242","BRA","Serra Grande",1
"243","BRA","Serraria",1
"244","BRA","Sessenta",1
"245","BRA","Simimboca",1
"246","BRA","Simoa",1
"247","BRA","Sinhuca",1
"248","BRA","Sta. Maria",1
"249","BRA","Sta. Rosa",1
"250","BRA","Sto Antonio do Urindeua",1
"251","BRA","TaberebAcua",1
"252","BRA","TAcuteua",1
"253","BRA","Tamaruteua",1
"254","BRA","Tapera Acu campo",1
"255","BRA","Tapera Acu porto",1
"256","BRA","Terra Amarela",1
"257","BRA","Tijoca",1
"258","BRA","Timbiras",1
"259","BRA","Trapeval",1
"260","BRA","Tucum",1
"261","BRA","Tucuma",1
"262","BRA","Ubizal",1
"263","BRA","Ubucu",1
"264","BRA","Valentim",1
"265","BRA","Vial Acucar",1
"266","BRA","Vila Bacabal",1
"267","BRA","Vila Bom Jesus",1
"268","BRA","Vila Cuera",1
"269","BRA","Vila do Castelo",1
"270","BRA","Vila do Meio",1
"271","BRA","Vila do treme",1
"272","BRA","Vila dos  Lucas",1
"273","BRA","Vila Enseada",1
"274","BRA","Vila Nova",2
"275","BRA","Vila Penha",1
"276","BRA","Vila Rica",1
"277","BRA","Vista Alegre",1
"278","BRA","Vista Alegre do Para",1
"279","BRA","Xindeua",1
"280","BRA",NA,1
"281","HND","Agua Caliente",2
"282","HND","Agua Chiquita",1
"283","HND","Ahuas",1
"284","HND","Arenalosa",1
"285","HND","Armenia Bonito",1
"286","HND","Atenas de San Cristóbal o Km. Diez y Siete",1
"287","HND","Aurata",1
"288","HND","Bajamar",1
"289","HND","Balfate",1
"290","HND","Bambu",1
"291","HND","Baracoa",1
"292","HND","Barbas Cheles",1
"293","HND","Barra de Caratasca",1
"294","HND","Barra de Chamelecón",1
"295","HND","Barra de Cuyamel",1
"296","HND","Barra del Motagua",1
"297","HND","Barra Patuca",1
"298","HND","Barra Ulúa",1
"299","HND","Batalla",1
"300","HND","Belén",1
"301","HND","Benck",1
"302","HND","Boca Cerrada",1
"303","HND","Bonitillo",1
"304","HND","Brus Laguna",1
"305","HND","Bulichampa",1
"306","HND","Burgos",1
"307","HND","Cáceres",1
"308","HND","Calabash Bight",1
"309","HND","Campo Elvir",1
"310","HND","Campo Nuevo",1
"311","HND","Campo Salado Barra",1
"312","HND","Canco",1
"313","HND","Caracas",1
"314","HND","Cauquira",1
"315","HND","Cayo de Venado",1
"316","HND","Cayos Cochinos",1
"317","HND","Ceiba Grande",1
"318","HND","Ceiba Mocha",1
"319","HND","Ceibita Way",1
"320","HND","Chachaguala o Col. Tegucigalpita",1
"321","HND","Chameleconcito",1
"322","HND","Champerio o El Triunfo de Esquipulas",1
"323","HND","Chapagua",1
"324","HND","Chivana",1
"325","HND","Ciriboya",1
"326","HND","Clupki",1
"327","HND","Cocobila",1
"328","HND","Col. Aguán",1
"329","HND","Colonia Gracias a Dios",1
"330","HND","Colonia Río Plátano",1
"331","HND","Colorado Barra",1
"332","HND","Concordia",1
"333","HND","Corozal",2
"334","HND","Corralitos",1
"335","HND","Crawfish Rock",1
"336","HND","Cruta o Walpatara",1
"337","HND","Cusuna",1
"338","HND","Cuyamel",2
"339","HND","Dantillo",1
"340","HND","East End",1
"341","HND","El Bálsamo",1
"342","HND","El Búfalo",1
"343","HND","El Bún",1
"344","HND","El Cacao",1
"345","HND","El Cedro",1
"346","HND","El Cenizo",1
"347","HND","El Chile",1
"348","HND","El Chorrerón",1
"349","HND","El Coco No.1",1
"350","HND","El Diamante",1
"351","HND","El Dorado",1
"352","HND","El Gancho",1
"353","HND","El Guano",1
"354","HND","El Junco",1
"355","HND","El Jute",1
"356","HND","El Naranjo",1
"357","HND","El Paraíso",1
"358","HND","El Perú",1
"359","HND","El Pino",1
"360","HND","El Pital",1
"361","HND","El Porvenir",2
"362","HND","El Rancho",1
"363","HND","El Satal",1
"364","HND","El Satalito",1
"365","HND","El Suspiro",1
"366","HND","El Tamarindo",1
"367","HND","El Tigre",1
"368","HND","El Triunfo de La Cruz",1
"369","HND","El Urraco",1
"370","HND","El Zapotal",1
"371","HND","El Zapote",1
"372","HND","Esparta",1
"373","HND","Feo",1
"374","HND","Flowers Bay",1
"375","HND","Francia",1
"376","HND","French Harbor",1
"377","HND","Frisco No.1",1
"378","HND","Guadalupe",1
"379","HND","Guanaja",1
"380","HND","Hicaque",1
"381","HND","Hisopo",1
"382","HND","Ibans",1
"383","HND","Iralaya",1
"384","HND","Iriona",1
"385","HND","Iriona Viejo",1
"386","HND","Isla de Barbareta",1
"387","HND","Jericó",1
"388","HND","Jonesville Point",1
"389","HND","José Santos Guardiola",1
"390","HND","Jutiapa",1
"391","HND","Kalpo",1
"392","HND","Karasunta o Karasuatla",1
"393","HND","Kilómetro Trece",1
"394","HND","Krata",1
"395","HND","Krausirpi",1
"396","HND","Krupunta",1
"397","HND","La Ausencia",1
"398","HND","La Bomba",1
"399","HND","La Brea",1
"400","HND","La Camisa",1
"401","HND","La Campana",1
"402","HND","La Caoba",1
"403","HND","La Ceiba",1
"404","HND","La Esperanza",1
"405","HND","La Esperanza de Santiago",1
"406","HND","La Fortuna",1
"407","HND","La Frutera",1
"408","HND","La Guadalupe",1
"409","HND","La Hicaca o San Isidro",1
"410","HND","La Ica",1
"411","HND","La Leona o Km. Doce",1
"412","HND","La Libertad",1
"413","HND","La Paz",1
"414","HND","La Pita",1
"415","HND","La Presa",1
"416","HND","La Ruidosa",1
"417","HND","La Sabana",1
"418","HND","La Tarralosa",1
"419","HND","La Unión",1
"420","HND","Laca Tabila",1
"421","HND","Lancetilla",1
"422","HND","Las Camelias",1
"423","HND","Las Crucitas",1
"424","HND","Las Delicias",2
"425","HND","Las Delicias del Norte",1
"426","HND","Las Flores",2
"427","HND","Las Flores de Leán",1
"428","HND","Las Mangas",2
"429","HND","Las Marías",1
"430","HND","Las Palmas",1
"431","HND","Las Quebradas",1
"432","HND","Limera",1
"433","HND","Limón",1
"434","HND","Lis Lis",1
"435","HND","Long The Shore",1
"436","HND","López Bonito",1
"437","HND","Los Cerritos",1
"438","HND","Los Laureles",1
"439","HND","Los Olanchitos",1
"440","HND","Los Planes",1
"441","HND","Lucinda",1
"442","HND","Mangotara",1
"443","HND","Mangrove Bight",1
"444","HND","Masca",1
"445","HND","Medina Abajo",1
"446","HND","Micelly",1
"447","HND","Milla Cuatro",1
"448","HND","Milla Tres",1
"449","HND","Mistruck",1
"450","HND","Monte Sion",1
"451","HND","Muchilena",1
"452","HND","Nisperales",1
"453","HND","Nueva Armenia",1
"454","HND","Nueva Esperanza",1
"455","HND","Nueva Florida",1
"456","HND","Nueva Go",1
"457","HND","Nueva Jerusalén",1
"458","HND","Nuevo Tulián",1
"459","HND","Omoa",1
"460","HND","Orotino",1
"461","HND","Paguales",1
"462","HND","Pakui",1
"463","HND","Palacios",1
"464","HND","Palkaka",1
"465","HND","Papaloteca",1
"466","HND","Paris de Leán",1
"467","HND","Piedra Pintada o La Colorada",1
"468","HND","Piedras Gordas",1
"469","HND","Plan Grande",1
"470","HND","Planes de Bambú",1
"471","HND","Planes de Hicaque",1
"472","HND","Plaplaya",1
"473","HND","Pollytilly Bight",1
"474","HND","Prunnitara",1
"475","HND","Pueblo Nuevo",1
"476","HND","Puente Alto",1
"477","HND","Puerto Arturo",1
"478","HND","Puerto Castilla",1
"479","HND","Puerto Cortés",1
"480","HND","Puerto Lempira",1
"481","HND","Punta de Piedra",1
"482","HND","Punta Gorda",1
"483","HND","Quebrada Grande",1
"484","HND","Ratlaya",1
"485","HND","Raya",1
"486","HND","Río Arriba",2
"487","HND","Río Blanquito",1
"488","HND","Río Chiquito",1
"489","HND","Río Coco",1
"490","HND","Río Coto",1
"491","HND","Río Cuero",1
"492","HND","Río Esteban",1
"493","HND","Río María",1
"494","HND","Río Plátano",1
"495","HND","Río Tinto",1
"496","HND","Roatan",1
"497","HND","Roma",1
"498","HND","Rosita",1
"499","HND","Saladito",1
"500","HND","Salitrán",1
"501","HND","Saltos",1
"502","HND","Sambo Creek",1
"503","HND","San Alejo",1
"504","HND","San Antonio",1
"505","HND","San Antonio de Las Palmas",1
"506","HND","San Cristóbal",1
"507","HND","San Francisco",1
"508","HND","San Francisco de Saco",1
"509","HND","San José",2
"510","HND","San José de Jalisco",1
"511","HND","San José de La Punta",1
"512","HND","San José de Montevideo",1
"513","HND","San Juan",1
"514","HND","San Luis",1
"515","HND","San Marcos de Majaine",1
"516","HND","San Martín",1
"517","HND","Sandy Bay",1
"518","HND","Sangrelaya",1
"519","HND","Santa Elena o Banda Sur",1
"520","HND","Santa Fe",1
"521","HND","Santa Inés",1
"522","HND","Santa Margarita o Guanales",1
"523","HND","Santa Marta",1
"524","HND","Santa Rosa de Aguán",1
"525","HND","Saraguayna",1
"526","HND","Satuye",1
"527","HND","Savannah Bight",1
"528","HND","Sico",1
"529","HND","Sisama",1
"530","HND","Six Huts",1
"531","HND","Sombra Verde",1
"532","HND","Tansin",1
"533","HND","Tarralosa",1
"534","HND","Tarros",1
"535","HND","Tegucigalpita",1
"536","HND","Tela",1
"537","HND","Thatch Point",1
"538","HND","Tierra Firme",1
"539","HND","Tipilalma",1
"540","HND","Tocamacho",1
"541","HND","Tornabé",1
"542","HND","Travesia",1
"543","HND","Trípoli",1
"544","HND","Trujillo",1
"545","HND","Tuimawala",1
"546","HND","Tulian Campo",1
"547","HND","Tuntuntara",1
"548","HND","Tusidaksa",1
"549","HND","Uji",1
"550","HND","Usibila",1
"551","HND","Utila",1
"552","HND","Vallecito",1
"553","HND","Veracruz",1
"554","HND","Victoria de Cristales",1
"555","HND","Vuelta Grande",1
"556","HND","Walpata",1
"557","HND","Wankiawala o San Bernardo",1
"558","HND","Warunta",1
"559","HND","Wauplaya",1
"560","HND","West End",1
"561","HND","Yahurabila",1
"562","HND","Yamanta",1
"563","HND","Zapotal del Norte",1
"564","HND","Zona de Reserva",1
"565","IDN","19 Nopember",1
"566","IDN","A'Bulosibatang",1
"567","IDN","Aan",1
"568","IDN","Ababi",1
"569","IDN","Abadi Jaya",1
"570","IDN","Abail",1
"571","IDN","Abang",1
"572","IDN","Abang Songan",1
"573","IDN","Abar-Abir",1
"574","IDN","Abason",1
"575","IDN","Abat",1
"576","IDN","Abbajareng",1
"577","IDN","Abbanderangnge",1
"578","IDN","Abbanuang",1
"579","IDN","Abbumpungeng",2
"580","IDN","Abe Pantai",1
"581","IDN","Abean",1
"582","IDN","Abeli",1
"583","IDN","Abeli Dalam",1
"584","IDN","Abelisawah",1
"585","IDN","Abeuk Budi",1
"586","IDN","Abeuk Geulanteu",1
"587","IDN","Abeuk Jaloh",1
"588","IDN","Abeuk Leupen",1
"589","IDN","Abeuk Reuling",1
"590","IDN","Abeuk Tingkeum",1
"591","IDN","Abeuk Usong",1
"592","IDN","Abian Tubuh Baru",1
"593","IDN","Abian Tuwung",1
"594","IDN","Abianbase",2
"595","IDN","Abidon",1
"596","IDN","Abo",1
"597","IDN","Abola",1
"598","IDN","Aboru",1
"599","IDN","Abresso",1
"600","IDN","Abu Sakim",1
"601","IDN","Abubu",1
"602","IDN","Abuleta",1
"603","IDN","Abusur",1
"604","IDN","Acango",1
"605","IDN","Acemo",1
"606","IDN","Ad Ngurwul",1
"607","IDN","Ad Ohoiwaf",1
"608","IDN","Ad Wearaur",1
"609","IDN","Adabai",1
"610","IDN","Adabang",1
"611","IDN","Adainasnosen",1
"612","IDN","Adam",1
"613","IDN","Adan",2
"614","IDN","Adang",1
"615","IDN","Adang Beurabo",1
"616","IDN","Adang Buom",1
"617","IDN","Adang Jaya",1
"618","IDN","Adar",1
"619","IDN","Adatongeng",1
"620","IDN","Adaut",1
"621","IDN","Adean",1
"622","IDN","Adi Luhur",1
"623","IDN","Adidharma",1
"624","IDN","Adiluhur",1
"625","IDN","Adinuso",1
"626","IDN","Adipala",1
"627","IDN","Adiraja",1
"628","IDN","Adireja Kulon",1
