"","iso3","lvl3_typ","lvl3_nm","count"
"1","BRA","District","Abadia",1
"2","BRA","District","Abraao",1
"3","BRA","District","Abrantes",1
"4","BRA","District","Abreu e Lima",1
"5","BRA","District","Acaraú",1
"6","BRA","District","Acu da Torre",1
"7","BRA","District","Acupe",1
"8","BRA","District","Aeroporto",1
"9","BRA","District","Agha",1
"10","BRA","District","Água Doce do Maranhão",1
"11","BRA","District","Aguas Claras",1
"12","BRA","District","Alcântara",1
"13","BRA","District","Alcobaca",1
"14","BRA","District","Alexandra",1
"15","BRA","District","Alhandra",1
"16","BRA","District","Almofala",1
"17","BRA","District","Alto Pongal",1
"18","BRA","District","Amapá",1
"19","BRA","District","Amaralina",1
"20","BRA","District","Amarelas",1
"21","BRA","District","Ana Dias",1
"22","BRA","District","Anchieta",1
"23","BRA","District","Angra dos Reis",1
"24","BRA","District","Antonina",1
"25","BRA","District","Antonio Bezerra",1
"26","BRA","District","Apicum-Açu",1
"27","BRA","District","Aquiraz",1
"28","BRA","District","Aracaju",1
"29","BRA","District","Aracati",1
"30","BRA","District","Aracatiara",1
"31","BRA","District","Aracruz",1
"32","BRA","District","Araioses",1
"33","BRA","District","Arambaré",1
"34","BRA","District","Aranau",1
"35","BRA","District","Araquari",1
"36","BRA","District","Araranguá",1
"37","BRA","District","Ararapira",1
"38","BRA","District","Araras",1
"39","BRA","District","Araruama",1
"40","BRA","District","Areia Branca",1
"41","BRA","District","Arês",1
"42","BRA","District","Argolas",1
"43","BRA","District","Aritagua",1
"44","BRA","District","Armação dos Búzios",1
"45","BRA","District","Armazém",1
"46","BRA","District","Arraial d`Ajuda",1
"47","BRA","District","Arraial do Cabo",1
"48","BRA","District","Arroio do Sal",1
"49","BRA","District","Arroio dos Mengues",1
"50","BRA","District","Arroio Teixeira",1
"51","BRA","District","Arvore So",1
"52","BRA","District","Atlantico",1
"53","BRA","District","Atlantida Sul",1
"54","BRA","District","Aturiai",1
"55","BRA","District","Augusto Corrêa",1
"56","BRA","District","Aurizona",1
"57","BRA","District","Axixá",1
"58","BRA","District","Bacabeira",1
"59","BRA","District","Bacaxa",1
"60","BRA","District","Bacupari",1
"61","BRA","District","Bacuri",1
"62","BRA","District","Baía da Traição",2
"63","BRA","District","Baía Formosa",1
"64","BRA","District","Bailique",1
"65","BRA","District","Bairro Alto",1
"66","BRA","District","Baleia",1
"67","BRA","District","Balneário Arroio do Silva",1
"68","BRA","District","Balneário Barra do Sul",1
"69","BRA","District","Balneário Camboriú",1
"70","BRA","District","Balneário Gaivota",1
"71","BRA","District","Balneário Pinhal",1
"72","BRA","District","Balnerio Morro dos Conventos",1
"73","BRA","District","Balnerio Rincao",1
"74","BRA","District","Bananal",1
"75","BRA","District","Banhado do Colegio",1
"76","BRA","District","Barao de Tromai",1
"77","BRA","District","Barcelos",1
"78","BRA","District","Barcelos do Sul",1
"79","BRA","District","Barra",1
"80","BRA","District","Barra da Lagoa",1
"81","BRA","District","Barra da Tijuca",1
"82","BRA","District","Barra de Camaratuba",1
"83","BRA","District","Barra de Macae",1
"84","BRA","District","Barra de Santo Antônio",1
"85","BRA","District","Barra de São João",1
"86","BRA","District","Barra de São Miguel",1
"87","BRA","District","Barra do Ceara",1
"88","BRA","District","Barra do Mamanguape",1
"89","BRA","District","Barra do Ribeiro",1
"90","BRA","District","Barra do Sirinhaem",1
"91","BRA","District","Barra dos Coqueiros",1
"92","BRA","District","Barra Grande",1
"93","BRA","District","Barra Nova",2
"94","BRA","District","Barra Seca",2
"95","BRA","District","Barra Velha",1
"96","BRA","District","Barreirinhas",1
"97","BRA","District","Barreiros",2
"98","BRA","District","Barrento",1
"99","BRA","District","Barro Duro",1
"100","BRA","District","Barroquinha",1
"101","BRA","District","Bayeux",1
"102","BRA","District","Bebedouro",1
"103","BRA","District","Beberibe",1
"104","BRA","District","Bela Vista",1
"105","BRA","District","Belem da Cachoeira",1
"106","BRA","District","Belmonte",1
"107","BRA","District","Bequimão",1
"108","BRA","District","Betânia",1
"109","BRA","District","Biguaçu",1
"110","BRA","District","Biritiba-Mirim",1
"111","BRA","District","Bitupita",1
"112","BRA","District","Boa Esperança",1
"113","BRA","District","Boa Vista",1
"114","BRA","District","Bojuru",1
"115","BRA","District","Bom Jesus dos Pobres",1
"116","BRA","District","Bombinhas",1
"117","BRA","District","Boqueirão",1
"118","BRA","District","Botafogo",1
"119","BRA","District","BraçO do Rio",1
"120","BRA","District","Braganca",1
"121","BRA","District","Brejo Grande",1
"122","BRA","District","Brotas",1
"123","BRA","District","Butias",1
"124","BRA","District","Butiatuva",1
"125","BRA","District","Caaporã",1
"126","BRA","District","Cabedelo",1
"127","BRA","District","Cabiunas",1
"128","BRA","District","Cabo de Santo Agostinho",1
"129","BRA","District","Cabo Frio",1
"130","BRA","District","Cabucu",1
"131","BRA","District","Cacatu",1
"132","BRA","District","Cacha Pregos",1
"133","BRA","District","Cachoeira",1
"134","BRA","District","Cachoeira de Cima",1
"135","BRA","District","Cachoeira do Bom Jesus",1
"136","BRA","District","Cafezal",1
"137","BRA","District","Caiçara",1
"138","BRA","District","Caiçara do Norte",1
"139","BRA","District","Cairu",1
"140","BRA","District","Cajueiro da Praia",1
"141","BRA","District","Calçoene",1
"142","BRA","District","Calogi",1
"143","BRA","District","Camaçari",1
"144","BRA","District","Camamu",1
"145","BRA","District","Camaragibe",1
"146","BRA","District","Camassandi",1
"147","BRA","District","Cambaquara",1
"148","BRA","District","Camboas",1
"149","BRA","District","Camboriú",1
"150","BRA","District","Camela",1
"151","BRA","District","Camocim",1
"152","BRA","District","Campeche",1
"153","BRA","District","Campestre",1
"154","BRA","District","Campinas",1
"155","BRA","District","Campo Grande",1
"156","BRA","District","Campos Elyseos",1
"157","BRA","District","Camurugi",1
"158","BRA","District","Camurupim",1
"159","BRA","District","Canaan",1
"160","BRA","District","Cananéia",1
"161","BRA","District","Canasvieiras",1
"162","BRA","District","Canavieiras",1
"163","BRA","District","Candeias",1
"164","BRA","District","Cândido Mendes",1
"165","BRA","District","Canelinha",1
"166","BRA","District","Canguaretama",1
"167","BRA","District","Canoas",1
"168","BRA","District","Capao Comprido",1
"169","BRA","District","Capão da Canoa",1
"170","BRA","District","Capao da Porteira",1
"171","BRA","District","Capao Novo",1
"172","BRA","District","Capivari de Baixo",1
"173","BRA","District","Capivari do Sul",1
"174","BRA","District","Caponga",1
"175","BRA","District","Caraguatatuba",1
"176","BRA","District","Caraiva",1
"177","BRA","District","Carapina",1
"178","BRA","District","Caratateua",1
"179","BRA","District","Caravelas",1
"180","BRA","District","Cariacica",1
"181","BRA","District","Carima",1
